id,nome_escola,tipo_escola,logradouro_entrega,numero,bairro,subprefeitura,latitude,longitude,quantidade_material_didatico,melhor_rota
690,ESCOLA MUNICIPAL FINLANDIA,EM,RUA IGARAPE-ACU,SN,CAMORIM,BARRA DA TIJUCA,-22.97198,-43.41011,94,0
262,CIEP HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO,SN ,AUGUSTO VASCONCELOS,,-22.88648,-43.5288,221,1
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,CIEP,RUA PRINCIPAL,SN ,BONSUCESSO,ZONA NORTE,-22.85782,-43.24045,210,2
660,EM NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342,3
566,EM BRANT HORTA,EM,RUA BENTO CARDOSO,130,PENHA CIRCULAR,ZONA NORTE,-22.83566,-43.28815,564,4
378,EM BRIGADEIRO FARIA LIMA,EM,RUA VIOLETA,SN ,AGUA SANTA,ZONA NORTE,-22.90627,-43.30791,365,5
121,EM DILERMANDO CRUZ,EM,AVENIDA TEIXEIRA DE CASTRO,407,RAMOS,ZONA NORTE,-22.85386,-43.25245,167,6
663,EM CIENTISTA MARIO KROEFF,EM,RUA DO COUTO,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426,7
161,EM JOAO DE DEUS,EM,PRACA ALMEIDA GARRET,SN ,PENHA CIRCULAR,ZONA NORTE,-22.82994,-43.2821,509,8
217,EM ALAGOAS,EM,AVENIDA DOM HELDER CAMARA,6742,PILARES,ZONA NORTE,-22.88133,-43.29409,440,9
259,EM PERNAMBUCO,EM,RUA CONDE DE AZAMBUJA,579,MARIA DA GRACA,ZONA NORTE,-22.88417,-43.26262,158,10
584,ESCOLA MUNICIPAL NELSON ROMERO,EM,RUA JOSE BALDINO,SN ,SEPETIBA,ZONA OESTE,-22.97173,-43.69735,342,11
382,EM SANTOS ANJOS,EM,RUA HUMBERTO DE CAMPOS,SN ,LEBLON,ZONA SUL,-22.98155,-43.21702,262,12
379,CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES,SN ,CAMPO GRANDE,ZONA OESTE,-22.89557,-43.5705,109,13
616,CIEP PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS,SN ,CAMPO GRANDE,ZONA OESTE,-22.88729,-43.58735,372,14
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA,97,COSMOS,ZONA OESTE,-22.91096,-43.61605,479,15
653,EM LUCIA MIGUEL PEREIRA,EM,RUA MARTAGAO GESTEIRA,SN ,SAO CONRADO,ZONA SUL,-22.99741,-43.27218,159,16
623,EM CECILIA MEIRELES,EM,RUA SD SERVINO MENGARDA,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30378,416,17
215,EM NARCISA AMALIA,EM,ESTRADA TEODORETO DE CAMARGO,SN ,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0,18
474,EM ENGENHEIRO GASTAO RANGEL,EM,ESTRADA DO MAGARCA,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320,19
301,EM JONATAS SERRANO,EM,ESTRADA DO MATO ALTO,SN ,GUARATIBA,ZONA OESTE,-22.95316,-43.5774,335,20
606,EM PROFESSOR CASTILHO,EM,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521,21
399,CIEP CLEMENTINA DE JESUS,EM,AVENIDA ALHAMBRA,SN ,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56664,71,22
210,EM DEBORA MENDES DE MORAES,EM,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00141,-43.63875,570,23
144,EM ALFREDO CESARIO ALVIM,EM,RUA RIO DA PRATA R LUISA MARILAC,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99,24
388,EM CARDEAL CAMARA,EM,RUA ANAMA,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30356,504,25
502,CIEP PATRICE LUMUMBA,CIEP,PRACA DA CONFEDERACAO SUICA,SN ,DEL CASTILHO,ZONA NORTE,-22.87835,-43.27488,493,26
117,CIEP CHANCELER WILLY BRANDT,CIEP,RUA ALVARO SEIXAS,SN ,JACARE,ZONA NORTE,-22.89417,-43.26384,457,27
020,EM TAGORE,EM,PRACA FREDERICO DUVAL,SN ,PIEDADE,ZONA NORTE,-22.88766,-43.30246,255,28
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,CIEP,AVENIDA DOM HELDER CAMARA,1715,JACARE,ZONA NORTE,-22.88531,-43.2541,489,29
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,EM,AVENIDA DOS DEMOCRATICOS,268,MANGUINHOS,ZONA NORTE,-22.88098,-43.25324,123,30
157,EM SARMIENTO,EM,RUA VINTE QUATRO DE MAIO,931,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350,31
140,EM PEDRO LESSA,EM,RUA ADAIL,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153,32
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34336,468,33
634,EM ALICE DO AMARAL PEIXOTO,EM,RUA EBANO,187,BENFICA,CENTRO,-22.88957,-43.2362,121,34
515,CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA,SN ,PEDRA DE GUARATIBA,ZONA OESTE,-22.9745,-43.64817,341,35
490,EM TIA CIATA,EM,AVENIDA PRESIDENTE VARGAS,SN ,CENTRO,CENTRO,-22.90712,-43.19506,578,36
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CIEP,RUA CARLOS SEIDL,SN ,CAJU,CENTRO,-22.88088,-43.22532,20,37
202,EM PROFESSOR TEOFILO MOREIRA DA COSTA,EM,RUA ESPERANCA,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98172,-43.49163,121,38
055,EM SANTA CATARINA,EM,RUA EDUARDO SANTOS,38,SANTA TERESA,CENTRO,-22.91553,-43.19158,92,39
514,EM PARANA,EM,AVENIDA ERNANI CARDOSO,316,CASCADURA,ZONA NORTE,-22.8824,-43.33811,534,40
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,EM,ESTRADA LUIZDE CAMOES,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33866,152,41
673,ESCOLA MUNICIPAL GRECIA,EM,AVENIDA BRAZ DE PINA,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31253,393,42
031,EM PARA,EM,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115,43
603,EM ESPIRITO SANTO,EM,RUA HERCULANO PENA,SN ,CAVALCANTI,ZONA NORTE,-22.87429,-43.31471,352,44
023,EM CERVANTES,EM,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342,45
495,EM ENGENHEIRO LAFAYETTE DE ANDRADA,EM,AVENIDA DUQUE DE CAXIAS,170,DEODORO,GRANDE BANGU,-22.85608,-43.3866,128,46
091,EM PIAUI,EM,AVENIDA BRASIL,23364,GUADALUPE,ZONA NORTE,-22.84541,-43.37852,0,47
308,CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO,SN ,REALENGO,GRANDE BANGU,-22.86652,-43.42514,400,48
398,EM LEONARDO DA VINCI,EM,RUA RENATO REBECCHI,SN ,BANGU,GRANDE BANGU,-22.89252,-43.47295,315,49
600,EM URUGUAI,EM,RUA ANA NERI,192,BENFICA,CENTRO,-22.89848,-43.23775,591,50
175,EM NACOES UNIDAS,EM,RUA DOS LIMADORES,SN ,BANGU,GRANDE BANGU,-22.88814,-43.47629,435,51
361,EM PRUDENTE DE MORAES,EM,RUA ENES DE SOUSA,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63,52
586,CIEP ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ,SN ,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48732,194,53
126,EM DUQUE DE CAXIAS,EM,RUA MAL JOFRE,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399,54
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473,55
689,EM MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,GRANDE BANGU,-22.86876,-43.45065,571,56
