ID_ESCOLA,NOME_ESCOLA,TIPO_ESCOLA,LOGRADOURO_ENTREGA,NUMERO_LOGRADOURO_ENTREGA,BAIRRO,SUBPREFEITURA,LATITUDE,LONGITUDE,QUANTIDADE_MATERIAL
246,ESCOLA MUNICIPAL FERNANDO AZEVEDO,ESCOLA MUNICIPAL,RUA DAS PALMEIRAS IMPERIAIS,SNo,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459.0
560,ESCOLA MUNICIPAL ANDRE VIDAL DE NEGREIROS,ESCOLA MUNICIPAL,RUA FELIPE CARDOSO,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308.0
311,ESCOLA MUNICIPAL PESTALOZZI,ESCOLA MUNICIPAL,RUA SEVERIANO DAS CHAGAS,SNo,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162.0
497,ESCOLA MUNICIPAL PROFESSORA LEILA MEHL MENEZES DE MATTOS,ESCOLA MUNICIPAL,AVENIDA MARIO PEREIRA DOS SANTOS,SNo,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517.0
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS,SNo,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207.0
301,ESCOLA MUNICIPAL JONATAS SERRANO,ESCOLA MUNICIPAL,ESTRADA DO MATO ALTO,SNo,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335.0
274,ESCOLA MUNICIPAL ABEILARD FEIJO,ESCOLA MUNICIPAL,ESTRADA DA CACUIA,1386,CACUIA,ILHAS,-22.80769,-43.18156,561.0
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,ESCOLA MUNICIPAL,RUA SERENATA,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180.0
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CIEP,RUA CARLOS SEIDL,SNo,CAJU,CENTRO,-22.88089,-43.22533,20.0
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPEIA,ESCOLA MUNICIPAL,RUA CIRNE MAIA,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
