ID,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LAT,LON,NUMERO_LOGRADOURO_ENTREGA
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR,-22.95382,-43.16888,433
450,ESCOLA MUNICIPAL ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ,-22.94071,-43.17647,124
331,CENTRO INTEGRADO DE EDUCACAO PUBLICA TANCREDO NEVES,CATETE,RUA DO CATETE,-22.92278,-43.17668,77
035,ESCOLA MUNICIPAL SENADOR CORREA,LARANJEIRAS,RUA SEN,-22.93399,-43.18101,CORREA
558,ESCOLA MUNICIPAL CICERO PENA,COPACABANA,AVENIDA ATLANTICA,-22.96865,-43.18114,1976
274,ESCOLA MUNICIPAL ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA,-22.80769,-43.18156,1386
483,ESCOLA MUNICIPAL CELESTINO SILVA,CENTRO,RUA DO LAVRADIO,-22.90929,-43.18358,56
523,ESCOLA MUNICIPAL PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO,-22.94556,-43.18659,257
413,ESCOLA MUNICIPAL COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA,-22.97483,-43.18906,34
055,ESCOLA MUNICIPAL SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS,-22.91554,-43.19159,38
309,ESCOLA MUNICIPAL MEXICO,BOTAFOGO,RUA DA MATRIZ,-22.95271,-43.19176,67
490,ESCOLA MUNICIPAL TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS,-22.90712,-43.19507,SNo
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE,-22.98333,-43.19904,90
387,CENTRO INTEGRADO DE EDUCACAO PUBLICA PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA,-22.95917,-43.19972,SNo
132,ESCOLA MUNICIPAL PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN,-22.92441,-43.20858,45
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,RUA SERENATA,-22.81244,-43.20966,40
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO,-22.91723,-43.21104,148
638,ESCOLA MUNICIPAL AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA,-22.91545,-43.21109,331
540,ESCOLA MUNICIPAL HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA,-22.98196,-43.21358,474
382,ESCOLA MUNICIPAL SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS,-22.98156,-43.21703,SNdeg
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL,-22.88089,-43.22533,SNo
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA,-22.89763,-43.22746,20
011,CENTRO INTEGRADO DE EDUCACAO PUBLICA SAMUEL WEINER,TIJUCA,AV HEITOR BELTRAO,-22.92127,-43.228,SNo
361,ESCOLA MUNICIPAL PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA,-22.92906,-43.23287,36
587,ESCOLA MUNICIPAL ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART,-22.9937,-43.23558,296
634,ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO,-22.88957,-43.2362,187
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,RUA ALM JOAO CANDIDO BRASIL,-22.91683,-43.23692,352
600,ESCOLA MUNICIPAL URUGUAI,BENFICA,RUA ANA NERI,-22.89849,-43.23776,192
163,ESCOLA MUNICIPAL LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO,-22.92684,-43.23789,370
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,RUA OITO DE DEZEMBRO,-22.90982,-43.23939,275
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL,-22.85783,-43.24045,SNo
260,ESCOLA MUNICIPAL PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA,-22.87374,-43.24071,VITORIA
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARD 28 DE SETEMBRO,-22.91615,-43.24705,353
121,ESCOLA MUNICIPAL DILERMANDO CRUZ,RAMOS,AVENIDA TEIXEIRA DE CASTRO,-22.85387,-43.25245,407
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS,-22.88099,-43.25325,268
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA,-22.88532,-43.2541,1715
140,ESCOLA MUNICIPAL PEDRO LESSA,BONSUCESSO,RUA ADAIL,-22.86047,-43.25428,49
226,ESCOLA MUNICIPAL AFRANIO PEIXOTO,ANDARAI,RUA FERREIRA PONTES,-22.92686,-43.25491,328
025,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,RUA ANA,-22.9007,-43.25541,NERI
230,ESCOLA MUNICIPAL BERLIM,OLARIA,PRACA RAMOS FIGUEIRA,-22.84779,-43.26144,20
259,ESCOLA MUNICIPAL PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA,-22.88418,-43.26262,579
117,CENTRO INTEGRADO DE EDUCACAO PUBLICA CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS,-22.89418,-43.26385,SNo
263,ESCOLA MUNICIPAL PADRE MANUEL DE NOBREGA,VIGARIO GERAL,PRACA ELBA,-22.85714,-43.26416,1215
126,ESCOLA MUNICIPAL DUQUE DE CAXIAS,GRAJAU,RUA MAL JOFRE,-22.91854,-43.26509,74
157,ESCOLA MUNICIPAL SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO,-22.90303,-43.26788,931
